"Tabela 4097 - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, por posição na ocupação e categoria do emprego no trabalho principal"
"Brasil";"2º trimestre 2021";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24213"
"Brasil";"3º trimestre 2021";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25009"
"Brasil";"4º trimestre 2021";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25476"
"Brasil";"1º trimestre 2022";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24829"
"Brasil";"2º trimestre 2022";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25241"
"Brasil";"3º trimestre 2022";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25200"
"Brasil";"4º trimestre 2022";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24972"
"Brasil";"1º trimestre 2023";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24704"
"Brasil";"2º trimestre 2023";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24718"
"Brasil";"3º trimestre 2023";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24968"
"Brasil";"4º trimestre 2023";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25089"
"Brasil";"1º trimestre 2024";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24890"
"Brasil";"2º trimestre 2024";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25011"
"Brasil";"3º trimestre 2024";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"24861"
"Brasil";"4º trimestre 2024";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25471"
"Brasil";"1º trimestre 2025";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25352"
"Brasil";"2º trimestre 2025";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25778"
"Brasil";"3º trimestre 2025";"Conta própria";"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas)";"25890"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

"Notas"
"A partir do 4º trimestre de 2015, em acordo com as recomendações da 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, da OIT, pessoas em licença remunerada, independentemente do tempo de afastamento, passaram a ser classificadas como ""ocupadas"" e seus rendimentos do trabalho foram coletados normalmente. Anteriormente, as pessoas em licença remunerada na semana de referência da pesquisa e que estavam afastadas por período inferior a 4 meses eram classificadas como ""ocupadas"". Caso esse afastamento fosse igual ou superior a 4 meses, essas pessoas eram definidas como ""fora da força de trabalho"" e, portanto, não se investigava o rendimento do trabalho.
Além disso, a partir do 4º trimestre de 2015, também passaram a ser classificadas como ""ocupadas"" as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de parente, adicionalmente àquelas que ajudaram no trabalho remunerado de outro morador do mesmo domicílio. Anteriormente, eram consideradas ""ocupadas"" apenas as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de outro morador do mesmo domicílio.
A partir de 15 de agosto de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
